W1	1	50	18.45472441	0.15	0.117647059	1000	0.3	-0.001	3	1	0	0	0.0032	0.0079	0.0245	0.06	0.35	0.33333	4.27 	0.1
W2	1	50	55.36417323	0.075	0.109589041	1000	0.2	-0.001	2.5	1	0	0	0.0032	0.0079	0.0245	0.06	0.2	0.33333	3.66 	0.1
S1L	1	3	39.05511811	0.0496	0.116315136	1000	1	-0.001	3	1	0	0	0.0048	0.0076	0.0162	0.04	0.25	0.33333	3.66 	0.05
S1M	4	7	52.34430923	0.0312	0.1799591	1000	1	-0.001	3	1	0	0	0.0032	0.0051	0.0108	0.0267	0.216	0.33333	3.66 	0.05
S1H	8	50	61.94678251	0.018	0.254113019	1000	1	-0.001	3	1	0	0	0.0024	0.0038	0.0081	0.02	0.17	0.33333	3.66 	0.05
S2L	1	3	55.36417323	0.075	0.093023256	1000	0.2	-0.001	2	1	0	0	0.004	0.0064	0.016	0.04	0.2	0.33333	3.66 	0.05
S2M	4	7	75.33157997	0.06225	0.145601273	1000	0.2	-0.001	2	1	0	0	0.0027	0.0043	0.0107	0.0267	0.172	0.33333	3.66 	0.05
S2H	8	50	84.26678302	0.04095	0.203594385	1000	0.2	-0.001	2	1	0	0	0.002	0.0032	0.008	0.02	0.136153846	0.33333	3.66 	0.05
S3	1	50	13.84104331	0.075	0.093023256	1000	1	-0.001	2	1	0	0	0.0032	0.0051	0.0128	0.035	0.4	0.33333	4.57 	0.05
S4L	1	3	70.86614173	0.06	0.104166667	1000	0.2	-0.001	2.25	1	0	0	0.0032	0.0051	0.0128	0.035	0.175	0.33333	3.66 	0.05
S4M	4	7	137.3851706	0.05025	0.152729503	1000	0.2	-0.001	2.25	1	0	0	0.0021	0.0034	0.0086	0.0233	0.13	0.33333	3.66 	0.05
S4H	8	50	152.113766	0.03315	0.214512152	1000	0.2	-0.001	2.25	1	0	0	0.0016	0.0026	0.0064	0.0175	0.101538462	0.33333	3.66 	0.05
S5L	1	3	73.81889764	0.075	0.111111111	1000	0.2	-0.001	2	1	0	0	0.0024	0.0048	0.012	0.028	0.175	0.33333	3.66 	0.05
S5M	4	7	135.153717	0.06225	0.178288283	1000	0.2	-0.001	2	1	0	0	0.0016	0.0032	0.008	0.0187	0.13	0.33333	3.66 	0.05
S5H	8	50	149.979412	0.04095	0.253968254	1000	0.2	-0.001	2	1	0	0	0.0012	0.0024	0.006	0.014	0.101538462	0.33333	3.66 	0.05
C1L	1	3	58.58267717	0.0496	0.121453556	1000	0.5	-0.001	3	1	0	0	0.004	0.0064	0.016	0.04	0.2	0.33333	3.05 	0.07
C1M	4	7	105.8919359	0.0416	0.1829653	1000	0.5	-0.001	3	1	0	0	0.0027	0.0043	0.0107	0.0267	0.15	0.33333	3.05 	0.07
C1H	8	50	122.4566929	0.018	0.25393864	1000	0.5	-0.001	3	1	0	0	0.002	0.0032	0.008	0.02	0.120833333	0.33333	3.05 	0.07
C2L	1	3	73.81889764	0.075	0.107142857	1000	0.2	-0.001	2.5	1	0	0	0.0032	0.0061	0.0158	0.04	0.175	0.33333	3.05 	0.07
C2M	4	7	176.7394761	0.06225	0.167336011	1000	0.2	-0.001	2.5	1	0	0	0.0021	0.0041	0.0105	0.0267	0.112	0.33333	3.05 	0.07
C2H	8	50	188.2357948	0.04095	0.236398123	1000	0.2	-0.001	2.5	1	0	0	0.0016	0.0031	0.0079	0.02	0.090833333	0.33333	3.05 	0.07
C3L	1	3	73.81889764	0.075	0.12195122	1000	0.2	-0.001	2.25	1	0	0	0.0024	0.0048	0.012	0.028	0.175	0.33333	3.05 	0.07
