"OBJECTID","POINT_X","POINT_Y"
61,497664.9577,315303.593
61,497664.6152,315317.9802
62,497664.6152,315279.1563
62,497723.5053,315280.9012
62,497723.9053,315267.403
62,497665.0151,315265.6581
62,497664.6152,315279.1563
63,496756.9086,315376.8946
63,496756.1641,315395.8791
63,496787.8049,315397.7403
63,496787.8049,315405.5574
63,496800.0889,315405.5574
63,496800.8334,315397.7403
63,496830.6129,315400.346
63,496830.9852,315380.9893
63,496756.9086,315376.8946
64,496846.6194,315386.573
64,496845.5027,315414.4913
64,496868.5818,315414.119
64,496867.8373,315429.381
64,496844.0137,315427.892
64,496842.897,315445.3875
64,496878.6324,315446.132
64,496881.9826,315401.4627
64,496873.421,315387.6897
64,496846.6194,315386.573
65,496910.2731,315386.2007
65,496909.9009,315399.9737
65,496969.8322,315402.5794
65,496970.2044,315390.2954
65,496910.2731,315386.2007
66,496909.802,315414.5901
66,496909.5228,315420.7322
66,496931.8575,315422.1281
66,496931.5783,315437.204
66,496907.8477,315436.0872
66,496907.2894,315443.346
66,496965.6386,315446.9754
66,496965.6386,315439.9958
66,496942.1872,315438.0415
66,496943.0248,315423.524
66,496967.3137,315425.1991
66,496967.0345,315418.4987
66,496909.802,315414.5901
67,497077.8702,315434.1329
67,497079.2661,315409.2857
67,497070.3322,315398.3975
67,497004.7242,315393.9306
67,496993.5569,315403.1436
67,496992.161,315428.5493
67,497003.8867,315428.8285
67,497005.0034,315409.844
67,497008.912,315406.773
67,497060.84,315410.4024
67,497065.8653,315415.4277
67,497065.0278,315433.8538
67,497077.8702,315434.1329
68,497137.8945,315400.631
68,497131.1941,315400.0726
68,497130.6358,315403.4228
68,497104.9509,315402.0269
68,497104.6717,315412.915
68,497109.697,315413.1942
68,497109.697,315409.0065
68,497128.4023,315409.844
68,497127.5648,315424.9199
68,497102.9966,315423.524
68,497103.2758,315431.6203
68,497126.448,315433.0162
68,497125.8897,315452.559
68,497101.3216,315452.0007
68,497101.3216,315458.701
68,497159.6708,315460.9345
68,497160.2292,315453.1174
68,497137.057,315452.559
68,497137.8945,315433.5746
68,497161.9043,315434.6913
68,497162.4626,315427.4326
68,497137.6153,315425.1991
68,497139.2904,315411.5191
68,497159.6708,315411.7983
68,497159.1124,315419.0571
68,497164.1377,315418.7779
68,497164.1377,315405.9355
68,497137.057,315404.8187
68,497137.8945,315400.631
69,497158.6239,315475.8708
69,497140.6166,315474.8239
69,497136.6382,315542.6653
69,497131.1941,315542.456
69,497130.3566,315550.4127
69,497153.5986,315551.2502
69,497158.6239,315475.8708
70,497182.9128,315533.6617
70,497180.6095,315575.3297
70,497193.5915,315575.5391
70,497193.5915,315568.6294
70,497278.3934,315573.6547
70,497277.7652,315580.5644
70,497290.7472,315581.1926
70,497293.4693,315540.5715
70,497280.4872,315539.5245
70,497278.6028,315561.5102
70,497194.6385,315556.6943
70,497196.1042,315533.6617
70,497182.9128,315533.6617
71,497185.4254,315515.445
71,497197.5699,315516.0732
71,497198.6168,315494.925
71,497282.9999,315500.3691
71,497282.1623,315522.3548
71,497294.5162,315522.5642
71,497297.657,315466.6578
71,497285.5125,315466.4484
71,497284.2562,315488.2246
71,497199.6638,315482.99
71,497201.3389,315459.748
71,497188.5662,315459.3292
71,497185.4254,315515.445
72,497190.032,315441.5313
72,497202.5952,315441.7407
72,497203.4327,315422.0583
72,497238.6098,315423.524
72,497239.4473,315410.7514
72,497204.2703,315410.3326
72,497204.4797,315406.5636
72,497191.9164,315406.5636
72,497190.032,315441.5313
73,497254.7326,315425.4085
73,497288.8627,315426.8742
73,497287.397,315448.8598
73,497300.379,315448.4411
73,497302.4729,315414.5203
73,497255.3608,315413.0546
73,497254.7326,315425.4085
74,497154.4361,315374.1086
74,497198.4074,315376.6212
74,497199.245,315360.7078
74,497154.8549,315359.2421
74,497154.4361,315374.1086
75,497156.1112,315343.7474
75,497200.9201,315346.6789
75,497201.5483,315331.8124
75,497156.53,315328.8809
75,497156.1112,315343.7474
76,496845.2409,315230.8877
76,496887.1184,315233.1212
76,496888.7935,315193.4772
76,496853.8956,315192.6396
76,496849.9871,315189.2894
76,496849.9871,315174.7719
76,496889.9102,315176.1678
76,496890.7478,315160.2544
76,496835.1904,315159.4169
76,496832.9569,315199.0609
76,496836.5863,315204.9237
76,496845.5201,315204.9237
76,496845.2409,315230.8877
77,497485.9659,315142.6659
77,497481.7782,315141.5492
77,497486.8035,315057.2359
77,497480.3823,315057.5151
77,497481.499,315024.0131
77,497457.7685,315023.4547
77,497457.2101,315034.6221
77,497447.997,315034.6221
77,497445.7636,315067.5657
77,497447.997,315067.8448
77,497441.855,315139.0365
77,497445.4844,315139.5949
77,497444.3677,315147.6912
77,497485.1284,315151.0414
77,497485.9659,315142.6659
78,497439.6216,314996.0948
78,497439.0632,315013.125
78,497489.5953,315016.196
78,497489.3161,315008.0997
78,497495.179,315008.0997
78,497494.6206,314992.7446
78,497491.2704,314992.7446
78,497491.2704,314985.4859
78,497480.1031,314986.3234
78,497478.9864,314997.2115
78,497439.6216,314996.0948
79,497411.4241,314979.3438
79,497398.8608,314979.0646
79,497398.5817,314983.8108
79,497387.1352,314984.0899
79,497386.5768,314996.0948
79,497395.5106,314996.0948
79,497394.6731,315007.5413
79,497384.9017,315008.0997
79,497383.5058,315020.6629
79,497391.6021,315020.6629
79,497391.6021,315037.4139
79,497402.211,315038.5306
79,497402.4902,315034.0637
79,497408.9114,315034.3429
79,497409.1906,315038.8098
79,497430.1293,315039.9265
79,497430.1293,315026.5258
79,497414.7743,315025.9674
79,497414.4951,315021.7796
79,497406.1196,315022.338
79,497406.3988,315009.4956
79,497420.0787,315010.054
79,497420.9163,314998.6075
79,497406.3988,314997.7699
79,497406.3988,314987.7193
79,497411.1449,314987.4401
79,497411.4241,314979.3438
80,497425.104,314921.5529
80,497492.6663,314926.2991
80,497493.5039,314912.0607
80,497425.6624,314907.873
80,497425.104,314921.5529
81,497491.8288,314931.0452
81,497483.7325,314931.0452
81,497483.7325,314933.837
81,497434.5963,314930.766
81,497433.2004,314945.2835
81,497421.7538,314944.7251
81,497421.4747,314957.5676
81,497445.7636,314957.2884
81,497445.7636,314955.0549
81,497450.7889,314955.3341
81,497450.2305,314948.6337
81,497481.7782,314949.7504
81,497480.6615,314957.2884
81,497490.9912,314957.5676
81,497491.5496,314950.8672
81,497497.6916,314951.1463
81,497498.25,314934.3954
81,497490.9912,314934.3954
81,497491.8288,314931.0452
82,497494.6206,314859.5743
82,497479.8239,314859.5743
82,497480.1031,314862.3661
82,497438.2256,314860.6911
82,497438.5048,314857.3409
82,497431.2461,314857.8992
82,497431.2461,314853.9907
82,497426.7791,314853.9907
82,497426.5,314855.6658
82,497420.0787,314855.3866
82,497419.5204,314864.3204
82,497424.8249,314864.3204
82,497425.3832,314871.3
82,497423.4289,314871.8584
82,497422.5914,314890.2844
82,497435.713,314890.5636
82,497435.713,314884.1424
82,497442.1342,314884.1424
82,497442.9718,314871.0208
82,497437.1089,314870.7416
82,497436.5505,314867.3914
82,497480.1031,314869.6249
82,497478.7072,314893.9138
82,497484.57,314894.4722
82,497484.8492,314895.5889
82,497490.712,314895.8681
82,497490.4329,314893.0763
82,497493.2247,314893.0763
82,497492.108,314871.0208
82,497497.9708,314870.1833
82,497497.9708,314863.4829
82,497494.3414,314863.4829
82,497494.6206,314859.5743
83,497302.1394,314911.8436
83,497300.2782,314931.5725
83,497351.2756,314935.295
83,497352.0201,314914.8215
83,497302.1394,314911.8436
84,497318.1459,314887.2755
84,497300.6505,314885.7865
84,497300.6505,314880.9473
84,497272.3599,314879.8306
84,497271.9877,314884.6698
84,497252.631,314883.9253
84,497252.631,314896.2093
84,497269.7542,314896.5816
84,497269.382,314901.793
84,497298.7892,314903.282
84,497299.906,314898.4428
84,497318.1459,314899.9318
84,497318.1459,314887.2755
85,497178.9267,314917.7995
85,497193.4442,314918.9162
85,497195.6777,314863.8241
85,497183.7658,314863.0796
85,497182.2769,314874.9914
85,497178.5544,314874.9914
85,497176.6932,314904.0265
85,497179.6712,314904.0265
85,497178.9267,314917.7995
86,497186.3716,315004.1601
86,497186.3716,314977.7308
86,497189.7217,314977.3585
86,497189.7217,314964.7022
86,497165.8981,314963.2133
86,497165.8981,314975.8696
86,497173.7153,314976.614
86,497173.343,315003.4156
86,497186.3716,315004.1601
87,497184.8826,315014.5829
87,497164.4092,315013.8384
87,497161.8034,315045.1069
87,497157.3365,315044.3624
87,497156.9643,315053.2963
87,497161.8034,315052.9241
87,497159.57,315073.0252
87,497167.7594,315073.3975
87,497168.5038,315077.1199
87,497178.1822,315077.4922
87,497178.1822,315074.5142
87,497181.1601,315073.7697
87,497184.8826,315014.5829
88,497148.0304,314853.7735
88,497124.9513,314853.029
88,497124.579,314850.7956
88,497120.8566,314850.7956
88,497121.2288,314835.9058
88,497148.0304,314836.278
88,497147.6582,314828.4609
88,497112.295,314827.7164
88,497111.5505,314844.4674
88,497108.2003,314844.4674
88,497107.8281,314851.1678
88,497111.5505,314851.1678
88,497111.5505,314867.1743
88,497120.4844,314867.1743
88,497120.8566,314863.8241
88,497132.7684,314864.1963
88,497133.1407,314868.291
88,497147.2859,314867.9188
88,497148.0304,314853.7735
89,497079.4503,314817.9173
89,497059.101,314817.4209
89,497059.101,314813.9467
89,497063.5679,314813.9467
89,497064.0642,314804.5165
89,497048.1818,314804.5165
89,497047.6855,314812.954
89,497053.1451,314813.4503
89,497052.1524,314820.3989
89,497031.3068,314820.3989
89,497032.2994,314814.443
89,497013.9354,314813.4503
89,497013.4391,314830.3254
89,497051.6561,314831.8144
89,497051.1598,314843.2298
89,497027.3362,314843.2298
89,497026.3435,314848.1931
89,497021.8766,314847.2005
89,497022.3729,314836.7776
89,497012.4464,314836.7776
89,497010.9574,314858.1196
89,497055.1304,314860.1049
89,497055.1304,314853.6527
89,497063.5679,314853.6527
89,497064.5606,314828.3401
89,497078.954,314829.3327
89,497079.4503,314817.9173
90,496957.6025,314912.7154
90,496970.2587,314913.4599
90,496973.6089,314869.5351
90,496979.1926,314869.5351
90,496979.9371,314860.229
90,496958.3469,314859.8567
90,496957.6025,314868.4184
90,496961.6971,314868.4184
90,496957.6025,314912.7154
91,496780.7865,315099.9541
91,496850.7684,315103.6766
91,496851.5129,315085.8089
91,496823.5946,315083.5754
91,496823.5946,315074.6415
91,496812.4273,315073.5248
91,496811.6828,315082.8309
91,496781.1588,315081.7142
91,496780.7865,315099.9541
92,496933.1255,315499.1315
92,496930.5198,315538.2172
92,496937.9646,315538.9617
92,496940.1981,315499.876
92,496933.1255,315499.1315
93,497006.4575,315544.9176
93,496939.0254,315539.2107
93,496938.7091,315543.8008
93,496936.1034,315543.8008
93,496934.9867,315562.0408
93,496967.3719,315563.5298
93,496968.1164,315557.2016
93,496971.8388,315557.5739
93,496971.4666,315563.902
93,497004.9686,315566.1355
93,497006.4575,315544.9176
94,497009.0436,315562.1178
94,497041.4288,315563.2346
94,497042.2664,315551.2297
94,497009.602,315549.8338
94,497009.0436,315562.1178
95,497045.6166,315548.7171
95,497045.0582,315569.935
95,497077.1643,315571.3309
95,497077.7226,315566.3056
95,497082.1896,315566.864
95,497082.1896,315572.1684
95,497114.854,315573.8435
95,497114.854,315565.1889
95,497117.925,315564.9097
95,497117.925,315552.3464
95,497045.6166,315548.7171
96,497126.0213,315513.2608
96,497119.3209,315512.7025
96,497117.925,315552.3464
96,497124.067,315551.7881
96,497126.0213,315513.2608
97,497428.5626,315566.4297
97,497427.1667,315578.4345
97,497372.726,315575.0843
97,497373.8427,315563.0795
97,497360.442,315562.2419
97,497359.8836,315586.5308
97,497439.4507,315591.5561
97,497440.8467,315567.2672
97,497428.5626,315566.4297
98,497433.8671,315533.4861
98,497442.2426,315550.5162
98,497446.7095,315550.5162
98,497450.0597,315552.1913
98,497450.6181,315550.5162
98,497453.4099,315551.0746
98,497455.3642,315541.8616
98,497447.8262,315527.9024
98,497457.8768,315511.989
98,497454.8058,315509.7555
98,497456.4809,315505.5678
98,497452.2932,315503.6135
98,497450.6181,315507.5221
98,497446.9887,315505.2886
98,497436.3797,315518.131
98,497434.7046,315516.1767
98,497431.6336,315517.0143
98,497432.192,315520.6437
98,497398.1317,315518.9686
98,497399.0259,315516.0415
98,497394.9036,315513.3326
98,497391.4313,315515.6184
98,497385.2892,315501.38
98,497381.6599,315501.6592
98,497378.5889,315498.5882
98,497374.6803,315498.8674
98,497375.5178,315503.8927
98,497372.1676,315505.5678
98,497379.9848,315523.1563
98,497369.0966,315537.953
98,497373.0052,315541.5824
98,497371.6093,315545.4909
98,497376.0762,315549.1203
98,497391.9896,315531.811
98,497433.8671,315533.4861
99,497413.157,315397.9384
99,497457.4541,315399.7996
99,497457.4541,315391.238
99,497463.7822,315391.238
99,497464.5267,315382.3041
99,497460.8042,315381.9319
99,497461.921,315366.6699
99,497448.8924,315367.0421
99,497448.148,315377.8372
99,497452.6149,315378.2094
99,497451.8704,315382.6764
99,497413.9015,315381.1874
99,497413.157,315397.9384
100,497415.7627,315374.1148
100,497444.0533,315375.6037
100,497445.5422,315359.9695
100,497416.5072,315359.225
100,497415.7627,315374.1148
101,497435.4917,315252.0187
101,497434.3749,315277.7036
101,497445.5422,315277.7036
101,497445.5422,315269.5142
101,497455.9651,315270.2587
101,497455.9651,315278.0758
101,497464.1544,315278.0758
101,497464.8989,315252.7632
101,497435.4917,315252.0187
102,497446.659,315209.5829
102,497475.694,315211.0719
102,497477.183,315163.4246
102,497448.8924,315162.6802
102,497448.5202,315181.6646
102,497466.0157,315182.4091
102,497465.2712,315200.2768
102,497446.659,315199.1601
102,497446.659,315209.5829
103,497436.9806,315180.5479
103,497438.4696,315144.8124
103,497415.7627,315144.068
103,497415.3905,315156.7243
103,497407.2011,315156.352
103,497406.8289,315166.0304
103,497410.9236,315166.0304
103,497410.9236,315170.125
103,497416.5072,315170.4973
103,497415.3905,315179.8034
103,497436.9806,315180.5479
104,497381.144,315089.7203
104,497380.7718,315107.9603
104,497408.3178,315108.7048
104,497408.3178,315094.9317
104,497394.1726,315094.9317
104,497394.1726,315089.7203
104,497381.144,315089.7203
105,497085.5455,314768.2803
105,497078.2867,314764.6509
105,497072.1447,314773.0264
105,497070.7488,314771.3513
105,497067.6777,314776.935
105,497073.2614,314780.2851
105,497071.8655,314782.7978
105,497076.0532,314785.3104
105,497079.4034,314781.9602
105,497081.6369,314783.3562
105,497078.0075,314787.8231
105,497082.7536,314791.1733
105,497086.6622,314785.8688
105,497094.2001,314790.0566
105,497098.3879,314784.1937
105,497082.1953,314772.7472
105,497085.5455,314768.2803
106,497029.6572,314768.6393
106,497017.6523,314768.0809
106,497017.0939,314772.5479
106,497003.1348,314772.2687
106,497002.8556,314779.2483
106,497016.8147,314779.5274
106,497017.0939,314783.1568
106,497021.5608,314782.8776
106,497020.7233,314788.7405
106,497027.9821,314788.4613
106,497027.9821,314785.3903
106,497034.1241,314785.1111
106,497033.5657,314774.7813
106,497029.378,314774.5022
106,497029.6572,314768.6393
107,496766.6668,314748.5381
107,496785.372,314748.259
107,496785.372,314739.0459
107,496778.6716,314738.7667
107,496778.6716,314742.6753
107,496766.3876,314742.3961
107,496766.6668,314748.5381
108,496955.6737,314894.2717
108,496948.4149,314893.4341
108,496947.5773,314915.4896
108,496950.6484,314915.7688
108,496950.9275,314920.794
108,496953.161,314920.5149
108,496948.4149,314971.3262
108,496962.6532,314972.7221
108,496968.7953,314916.6063
108,496954.5569,314915.7688
108,496955.6737,314894.2717
109,496946.7398,314997.5694
109,496961.2573,314998.4069
109,496962.6532,314972.7221
109,496948.4149,314971.3262
109,496946.7398,314997.5694
110,496874.9898,315100.3087
110,496924.9635,315103.6589
110,496925.2427,315089.1414
110,496876.1065,315086.6288
110,496874.9898,315100.3087
111,496656.6687,314985.8437
111,496676.2115,314985.8437
111,496676.4907,314977.7474
111,496684.3078,314978.0266
111,496684.8661,314982.2143
111,496692.4041,314982.4935
111,496692.6833,314962.1131
