ID,名称,建造时间,建筑面积,占地面积,层数,结构类型,层高,特殊情况,结构功能
49,人文社科图书馆,2009,0,3777.7394,5,框架剪力墙,3.2,异形建筑,图书馆
50,土木馆,1995,0,630,4,框架结构,4, ,办公楼
51,空调实验室1,1995,0,2473.10503,1,砖混结构,4,估计年份,科研
52,土木系实验室1,1995,0,1753.21344,2,砖混结构,4,估计年份,科研
53,土木系实验室2,1995,0,199.76315,2,砖混结构,3,估计时间,科研
54,土木系实验室3,1995,0,295.66976,2,砖混结构,3,估计年份,科研
55,土木系实验室4,1995,0,182.51011,2,砖混结构,6,估计年份,科研
56,教材中心,1995,0,1199.59379,1,框架结构,2.799999,估计年份,图书馆
57,空调实验室2,1995,0,186.4005,2,砖混结构,3,估计年份,科研
58,学生公寓5号楼,1970,0,1138.79585,4,剪力墙结构,2.799999,估计年份,学生公寓
59,学生公寓6号楼,1970,0,1107.58815,4,剪力墙结构,2.799999,估计年份,学生公寓
60,量子信息中心,1990,0,749.36554,1,框架结构,3,估计时间,科研
61,心理咨询中心,1970,0,791.22954,4,剪力墙结构,2.799999,估计年份,办公楼
62,实验室设备处,1970,0,795.60623,4,剪力墙结构,2.799999,估计年份,办公楼
63,老化学馆,1931,0,1506.62378,4,砖混,3.2, , 办公楼
64,何添楼（新化学馆）,2004,0,1696.52792,4,框架剪力墙,3.2, ,办公楼
65,善斋,1932,0,782.0642,3,砖混,3.2, ,宿舍
66,平斋,1934,0,958.19424,3,砖混,3.2, ,宿舍
67,明斋,1930,0,1559.09698,3,砖混,3.2,估计年份,宿舍
68,新斋人文学院,1934,0,1733.45568,3,砖混,3.2, ,办公楼
69,清西文化,1934,0,1388.11386,2,框架结构,3.2, 估计年份,商业楼
70,1号楼,1954,0,2098.59024,4,砖混,3.2, ,宿舍
71,2号楼,1954,0,2410.24829,4,砖混,3.2, ,宿舍
72,3号楼,1954,0,869.03449,4,砖混,3.2, ,宿舍
73,4号楼,1954,0,872.56384,4,砖混,3.2, ,宿舍
74,立斋,1951,0,681.18905,3,砖混,3.2, 估计年份,宿舍
75,诚斋,1951,0,669.24182,3,砖混,3.2, 估计年份,宿舍
76,生命科学馆,1999,0,2958.1764,4,框架剪力墙,3.5, ,办公楼
77,泥沙实验室,1971,0,4641.31983,2,框架结构,6, ,办公楼
78,四教,1987,0,1104.76618,4,框架结构,4, ,教学楼
79,五教,1987,0,1467.27975,2,框架结构,4, ,教学楼
80,保卫科派出所,1970,0,948.17844,1,框架结构,3.2, 估计年份,办公楼
81,文南楼,1986,0,1452.70437,4,混合,3.5, ,办公楼
82,动力机械与工程研究所,1972,0,1371.68248,1,框架结构,3.2, ,办公楼
83,旧水利馆,1932,0,1018.24938,3,框架结构,3.2, ,教学楼
84,旧土木馆,1922,0,1100.34945,2,框架结构,3.2, ,办公楼
85,一教,1954,0,845.18088,3,框架结构,3, ,教学楼
86,二教,1952,0,650.77327,2,砖混,3, ,教学楼
87,科学馆,1919,0,1319.62952,3,砖混,3.2, ,办公楼
88,丙所,1915,0,954.37065,1,砖混,3.599999, 估计年份,办公楼
89,甲所,1915,0,2008.52381,1,砖混,3.599999, 估计年份,办公楼
90,静斋,1932,0,739.59386,4,砖混,3.2, ,招待所
91,生物馆,1930,0,1400.69048,4,框架剪力墙,3.2, ,办公楼
92,十四宿舍,1954,0,285.51436,3,砖混,3.2, 估计年份,宿舍
93,十五宿舍,1954,0,1507.3721,3,砖混,3.2, 估计年份,宿舍
94,十八宿舍,1954,0,395.8732,4,砖混,3.2, 估计年份,宿舍
95,十六宿舍,1954,0,1501.06824,3,砖混,3.2, 估计年份,宿舍
96,十七宿舍,1954,0,250.97695,3,砖混,3.2, 估计年份,宿舍
97,13号楼,1954,0,1290.58268,5,砖混,3.2, 估计年份,宿舍
98,14号楼,1954,0,1941.70567,6,砖混,3.2, 估计年份,宿舍
99,财务处,1950,0,984.99357,4,框架剪力墙,3.2, 估计年份,办公楼
100,财务处2,1950,0,438.69869,1,框架结构,3.2, 估计年份,办公楼
101,校团委,1950,0,671.14248,2,砖混,3.2, 估计年份,办公楼
102,某办公楼1,1950,0,1033.90723,1,砖混,3.2, 估计年份,办公楼
103,文北楼,1987,0,889.72972,7,框架剪力墙,3.5, ,教学楼
104,某办公楼2,1980,0,435.58096,2,砖混,3.2, 估计年份,办公楼
105,公会,1930,0,361.8121,1,砖混结构,3.2, 估计年份,办公楼
106,问询处,1989,0,367.54092,1,框架结构,3.2, 估计年份,办公楼
107,某荒废建筑,1970,0,134.80268,1,框架结构,3.2, 估计年份,办公楼
108,熙春园,1980,0,997.12672,1,框架结构,3.2, 估计年份,食堂
109,强斋,1951,0,375.02347,3,砖混,3.2, ,宿舍
110,荷二楼,1940,0,700.70892,3,砖混,3.2, 估计年份,办公楼
111,近春园楼（伟伦中心）,1988,0,2311.67692,4,框架结构,3.2, 估计年份,办公楼
112,西阶,1911,0,368.74904,2,砖混,3.2, ,教室
113,新水,1955,0,3721.78542,3,框架结构,3.2, ,教学楼
114,文西楼,1934,0,1037.57921,3,框架结构,3.2, ,办公楼
115,教育基金会,1920,0,562.6716,2,砖混,3.2,估计年份,办公楼
116,环境工程实验楼,1950,0,1704.46081,1,砖混,3.2,估计年份,办公楼
117,物业管理中心,1999,0,343.35663,1,砖混,3.2,估计年份,办公楼
118,观畴园,2001,0,3513.2948,3,框架结构,3.2, ,食堂
119,人环楼,1990,0,1807.23129,3,框架结构,3.2,估计年份,办公楼
120,花房1,1980,0,779.52893,1,砖混,3.2,估计年份,办公楼
121,花房2,1980,0,656.98768,1,砖混,3.2,估计年份,办公楼
122,花房3,1980,0,1045.74376,1,砖混,3.2,估计年份,办公楼
123,花房4,1980,0,433.91439,1,砖混,3.2,估计年份,办公楼
124,花房5,1980,0,206.3691,1,砖混,3.2,估计年份,办公楼
125,蒙民伟楼,1995,0,2315.04309,3,框架结构,3.5, ,活动
126,西区体育馆,1916,0,2944.6508,2,砖混,3.2, 估计年份,办公楼
127,医学科学楼,2006,0,8221.18944,3,框架结构,3.5, ,办公楼
128,某医学研究室,2000,0,818.21447,3,框架结构,3.2, 估计年份,办公楼
129,校医院北楼,1988,0,784.17044,4,砖混,3.5, ,医院
130,校医院南楼,1988,0,2129.84354,2,框架结构,3.5, ,医院
131,老机械工程馆2,1935,0,650.93971,3,砖混,3.2, ,办公楼
132,老机械工程馆,1935,0,1135.96062,2,砖混,3.5, ,办公楼
133,听涛园1,1981,0,646.69272,1,框架结构,3.2, ,食堂
134,听涛园2,1981,0,650.26827,1,框架结构,5, ,食堂
135,听涛园3,1981,0,1057.7472,2,框架结构,3.2, ,食堂
136,工会俱乐部,1952,0,397.66559,1,框架结构,3.2,估计年份,办公楼
137,荷园餐厅,1952,0,1471.89351,2,框架结构,3.5, ,食堂
138,新图书馆,1987,1184706560,6928.85714,4,砖混,3.599999, ,图书馆
139,老图书馆,1916,1172713472,3602.06691,4,砖混,3.5, ,图书馆
140,老留学生楼,1960,0,1247.46629,2,框架剪力墙,3.599999,估计年份,住宅
141,老留学生楼,1960,0,144.01953,2,框架剪力墙,3.599999,估计年份,住宅
142,老留学生楼,1960,0,999.73378,2,框架剪力墙,3.599999,估计年份,住宅
143,老留学生楼,1960,0,374.88057,2,框架剪力墙,3.599999,估计年份,住宅
144,老留学生楼,1960,0,622.92087,2,框架剪力墙,3.599999,估计年份,住宅
145,老留学生楼,1960,0,177.21174,2,框架剪力墙,3.599999,估计年份,住宅
146,老留学生楼,1960,0,399.7419,2,框架剪力墙,3.599999,估计年份,住宅
147,老留学生楼,1960,0,363.06224,2,框架剪力墙,3.599999,估计年份,住宅
148,老留学生楼,1960,0,510.93818,2,框架剪力墙,3.599999,估计年份,住宅
149,老留学生楼,1960,0,57.02375,2,框架剪力墙,3.599999,估计年份,住宅
150,老留学生楼,1960,0,122.46802,2,框架剪力墙,3.599999,估计年份,住宅
151,老留学生楼,1960,0,122.76123,2,框架剪力墙,3.599999,估计年份,住宅
152,老留学生楼,1960,0,23.39393,2,框架剪力墙,3.599999,估计年份,住宅
153,理科楼,1999,1181527040,4586.1939,3,砖混,3.5, ,办公楼
154,西院,1990,0,198.05334,1,砖混,3.5,估计年份, 住宅
155,西院,1990,0,202.6089,1,砖混,3.5,估计年份,住宅
156,西院,1990,0,185.59143,1,砖混,3.5,估计年份,住宅
157,西院,1990,0,21.79736,1,砖混,3.5,估计年份,住宅
158,西院,1990,0,119.66237,1,砖混,3.5,估计年份,住宅
159,西院,1990,0,85.27136,1,砖混,3.5,估计年份,住宅
160,西院,1990,0,142.29914,1,砖混,3.5,估计年份,住宅
161,西院,1990,0,142.94487,1,砖混,3.5,估计年份,住宅
162,西院,1990,0,136.17626,1,砖混,3.5,估计年份,住宅
163,西院,1990,0,136.01511,1,砖混,3.5,估计年份,住宅
164,西院,1990,0,40.70713,1,砖混,3.5,估计年份,住宅
165,西院,1990,0,148.74987,1,砖混,3.5,估计年份,住宅
166,西院,1990,0,166.89649,1,砖混,3.5,估计年份,住宅
167,西院,1990,0,141.96841,1,砖混,3.5,估计年份,住宅
168,西院,1990,0,183.87301,1,砖混,3.5,估计年份,住宅
169,西院,1990,0,152.68623,1,砖混,3.5,估计年份,住宅
170,西院,1990,0,107.6432,1,砖混,3.5,估计年份,住宅
171,西院,1990,0,42.10544,1,砖混,3.5,估计年份,住宅
172,西院,1990,0,22.69301,1,砖混,3.5,估计年份,住宅
173,西院,1990,0,45.53188,1,砖混,3.5,估计年份,住宅
174,西院,1990,0,168.38943,1,砖混,3.5,估计年份,住宅
175,西院,1990,0,159.54823,1,砖混,3.5,估计年份,住宅
176,西院,1990,0,32.38022,1,砖混,3.5,估计年份,住宅
177,西院,1990,0,32.89556,1,砖混,3.5,估计年份,住宅
178,西院,1990,0,39.0753,1,砖混,3.5,估计年份,住宅
179,西院,1990,0,306.45323,1,砖混,3.5,估计年份,住宅
180,西院,1990,0,160.59716,1,砖混,3.5,估计年份,住宅
181,西院,1990,0,161.92058,1,砖混,3.5,估计年份,住宅
182,西院,1990,0,43.64369,1,砖混,3.5,估计年份,住宅
183,西院,1990,0,162.84165,1,砖混,3.5,估计年份,住宅
184,西院,1990,0,146.46222,1,砖混,3.5,估计年份,住宅
185,西院,1990,0,45.69932,1,砖混,3.5,估计年份,住宅
186,西院,1990,0,150.23698,1,砖混,3.5,估计年份,住宅
187,西院,1990,0,114.3793,1,砖混,3.5,估计年份,住宅
188,西院,1990,0,35.74808,1,砖混,3.5,估计年份,住宅
189,西院,1990,0,43.14956,1,砖混,3.5,估计年份,住宅
190,西院,1990,0,44.45976,1,砖混,3.5,估计年份,住宅
191,西院,1990,0,143.39935,1,砖混,3.5,估计年份,住宅
192,西院,1990,0,113.94119,1,砖混,3.5,估计年份,住宅
193,西院,1990,0,14.29034,1,砖混,3.5,估计年份,住宅
194,西院,1990,0,37.55064,1,砖混,3.5,估计年份,住宅
195,西院,1990,0,21.96472,1,砖混,3.5,估计年份,住宅
196,西院,1990,0,122.92297,1,砖混,3.5,估计年份,住宅
197,西院,1990,0,127.58514,1,砖混,3.5,估计年份,住宅
198,西院,1990,0,390.20715,1,砖混,3.5,估计年份,住宅
199,西院,1990,0,148.92629,1,砖混,3.5,估计年份,住宅
200,西院,1990,0,147.62683,1,砖混,3.5,估计年份,住宅
201,西院,1990,0,15.04605,1,砖混,3.5,估计年份,住宅
202,西院,1990,0,145.59666,1,砖混,3.5,估计年份,住宅
203,西院,1990,0,29.27129,1,砖混,3.5,估计年份,住宅
204,西院,1990,0,146.2666,1,砖混,3.5,估计年份,住宅
205,西院,1990,0,15.93609,1,砖混,3.5,估计年份,住宅
206,西院,1990,0,16.70987,1,砖混,3.5,估计年份,住宅
207,西院,1990,0,14.59542,1,砖混,3.5,估计年份,住宅
208,西院,1990,0,146.23748,1,砖混,3.5,估计年份,住宅
209,西院,1990,0,16.47866,1,砖混,3.5,估计年份,住宅
210,西院,1990,0,146.78648,1,砖混,3.5,估计年份,住宅
211,西院,1990,0,29.71065,1,砖混,3.5,估计年份,住宅
212,西院,1990,0,15.92735,1,砖混,3.5,估计年份,住宅
213,西院,1990,0,15.84713,1,砖混,3.5,估计年份,住宅
214,西院,1990,0,17.83884,1,砖混,3.5,估计年份,住宅
215,西院,1990,0,31.75648,1,砖混,3.5,估计年份,住宅
216,西院,1990,0,16.57819,1,砖混,3.5,估计年份,住宅
217,西院,1990,0,17.42815,1,砖混,3.5,估计年份,住宅
218,西院,1990,0,15.64826,1,砖混,3.5,估计年份,住宅
219,西院,1990,0,14.31525,1,砖混,3.5,估计年份,住宅
220,西院,1990,0,14.94692,1,砖混,3.5,估计年份,住宅
221,西院,1990,0,29.56984,1,砖混,3.5,估计年份,住宅
222,西院,1990,0,13.60172,1,砖混,3.5,估计年份,住宅
223,西院,1990,0,15.44182,1,砖混,3.5,估计年份,住宅
224,西院,1990,0,15.37783,1,砖混,3.5,估计年份,住宅
225,西院,1990,0,29.37824,1,砖混,3.5,估计年份,住宅
226,西院,1990,0,13.93005,1,砖混,3.5,估计年份,住宅
227,西院,1990,0,200.69244,1,砖混,3.5,估计年份,住宅
228,西院,1990,0,87.93344,1,砖混,3.5,估计年份,住宅
229,西院,1990,0,271.23663,1,砖混,3.5,估计年份,住宅
230,汽车房,1990,0,240.66756,1,框架结构,3.599999,估计年份,汽车房
231,汽车房,1990,0,96.62566,1,框架结构,3.599999,估计年份,汽车房
232,汽车房,1990,0,52.28153,1,框架结构,3.599999,估计年份,汽车房
233,汽车房,1990,0,48.84274,1,框架结构,3.599999,估计年份,汽车房
234,汽车房,1990,0,150.76802,1,框架结构,3.599999,估计年份,汽车房
235,汽车房,1990,0,31.56847,1,框架结构,3.599999,估计年份,汽车房
236,汽车房,1990,0,39.24967,1,框架结构,3.599999,估计年份,汽车房
237,汽车房,1990,0,19.62324,1,框架结构,3.599999,估计年份,汽车房
238,汽车房,1990,0,133.81296,1,框架结构,3.599999,估计年份,汽车房
239,汽车房,1990,0,198.85694,1,框架结构,3.599999,估计年份,汽车房
240,汽车房,1990,0,193.60442,1,框架结构,3.599999,估计年份,汽车房
241,汽车房,1990,0,29.50847,1,框架结构,3.599999,估计年份,汽车房
242,汽车房,1990,0,153.23139,1,框架结构,3.599999,估计年份,汽车房
243,汽车房,1990,0,198.46832,1,框架结构,3.599999,估计年份,汽车房
244,汽车房,1990,0,261.75015,1,框架结构,3.599999,估计年份,汽车房
245,汽车房,1990,0,331.60086,1,框架结构,3.599999,估计年份,汽车房
246,汽车房,1990,0,342.12293,1,框架结构,3.599999,估计年份,汽车房
247,汽车房,1990,0,68.16427,1,框架结构,3.599999,估计年份,汽车房
248,汽车房,1990,0,374.067,1,框架结构,3.599999,估计年份,汽车房
249,汽车房,1990,0,378.32467,1,框架结构,3.599999,估计年份,汽车房
250,汽车房,1990,0,818.73423,1,框架结构,3.599999,估计年份,汽车房
251,汽车房,1990,0,316.63174,1,框架结构,3.599999,估计年份,汽车房
252,工字厅,1780,0,275.33651,1,砖混,3.599999,估计年份,办公楼
253,工字厅,1780,0,442.4618,1,砖混,3.599999,估计年份,办公楼
254,工字厅,1780,0,94.20222,1,砖混,3.599999,估计年份,办公楼
255,工字厅,1780,0,22.69377,1,砖混,3.599999,估计年份,办公楼
256,工字厅,1780,0,109.13136,1,砖混,3.599999,估计年份,办公楼
257,工字厅,1780,0,255.37131,1,砖混,3.599999,估计年份,办公楼
258,工字厅,1780,0,53.26485,1,砖混,3.599999,估计年份,办公楼
259,工字厅,1780,0,82.06353,1,砖混,3.599999,估计年份,办公楼
260,工字厅,1780,0,92.16991,1,砖混,3.599999,估计年份,办公楼
261,工字厅,1780,0,83.07126,1,砖混,3.599999,估计年份,办公楼
262,工字厅,1780,0,80.5934,1,砖混,3.599999,估计年份,办公楼
263,工字厅,1780,0,105.47078,1,砖混,3.599999,估计年份,办公楼
264,工字厅,1780,0,76.15717,1,砖混,3.599999,估计年份,办公楼
265,工字厅,1780,0,212.92454,1,砖混,3.599999,估计年份,办公楼
266,工字厅,1780,0,115.48689,1,砖混,3.599999,估计年份,办公楼
267,古月堂,1822,0,155.17763,1,砖混,3.599999,估计年份,办公楼
268,古月堂,1822,0,369.8464,1,砖混,3.599999,估计年份,办公楼
269,古月堂,1822,0,198.38674,1,砖混,3.599999,估计年份,办公楼
270,古月堂,1822,0,143.23797,1,砖混,3.599999,估计年份,办公楼
271,派出所,1912,1134765670,88.8212,1,砖混,3.5, ,办公楼
272,清华学堂,1911,1167151104,1956.22089,2,砖混,3.5, ,教学楼
273,大礼堂,1917,1155989504,1152.68451,1,砖混,6,异形结构,礼堂
274,同方部,1911,0,336.58681,1,砖混结构,3.599999, ,办公楼
275,某土力学研究室,1980,0,103.44502,2,框架结构,3.5,估计年份,办公楼
276,桃李园,2003,0,2389.78985,3,框架剪力墙,5, ,食堂
277,紫荆园,2003,0,2338.99875,4,框架剪力墙,5, ,食堂
278,玉树园,2003,0,818.84548,2,框架剪力墙,4.5, ,食堂
279,芝兰园,2003,0,835.31276,2,框架剪力墙,4.5, ,食堂
280,31号楼,2000,0,871.95518,7,剪力墙,3.5, ,学生公寓
281,紫荆1号楼,2003,0,3328.14553,7,剪力墙,3.5, ,学生公寓
282,紫荆2号楼,2003,0,2740.86541,7,剪力墙,3.5, ,学生公寓
283,紫荆3号楼,2003,0,1513.19313,7,剪力墙,3.5, ,学生公寓
284,紫荆4号楼,2003,0,2703.48388,7,剪力墙,3.5, ,学生公寓
285,紫荆5号楼,2003,0,3550.06708,7,剪力墙,3.5, ,学生公寓
286,紫荆6号楼,2003,0,3276.04794,7,剪力墙,3.5, ,学生公寓
287,紫荆7号楼,2003,0,1400.20261,7,钢结构,3.5, ,学生公寓
288,紫荆8号楼,2003,0,2302.94266,7,剪力墙,3.5, ,学生公寓
289,紫荆9号楼,2003,0,2121.2782,7,剪力墙,3.5, ,学生公寓
290,紫荆10号楼,2003,0,1223.44369,7,剪力墙,3.5, ,学生公寓
291,紫荆11号楼,2003,0,1982.2392,7,剪力墙,3.5, ,学生公寓
292,紫荆12号楼,2003,0,1443.50437,7,剪力墙,3.5, ,学生公寓
293,紫荆13号楼,2003,0,823.91734,7,剪力墙,3.5, ,学生公寓
294,紫荆14号楼,2003,0,1967.18489,15,剪力墙,3.5, ,学生公寓
295,紫荆15号楼,2003,0,1680.85076,15,剪力墙,3.5, ,学生公寓
296,紫荆16号楼,2003,0,1501.10775,15,剪力墙,3.5, ,学生公寓
297,紫荆17号楼,2003,0,1474.96592,15,剪力墙,3.5, ,学生公寓
298,紫荆18号楼,2003,0,1188.99384,12,剪力墙,3.5, ,学生公寓
299,紫荆19号楼,2003,0,1321.54925,12,剪力墙,3.5, ,学生公寓
300,紫荆20号楼,2003,0,1301.08228,12,剪力墙,3.5, ,学生公寓
301,紫荆21号楼,2003,0,1334.57342,12,剪力墙,3.5, ,学生公寓
302,紫荆22号楼,2003,0,1268.606,12,剪力墙,3.5, ,学生公寓
303,紫荆23号楼,2003,0,1389.03885,12,剪力墙,3.5, ,学生公寓
304,32号楼,2000,0,897.95366,7,剪力墙,3.5, ,学生公寓
305,33号楼,2000,0,896.36533,7,剪力墙,3.5, ,学生公寓
306,34号楼,2000,0,809.30713,7,剪力墙,3.5, ,学生公寓
307,35号楼,2000,0,855.83336,6,剪力墙,3.5, ,学生公寓
308,36号楼,2000,0,868.29405,6,剪力墙,3.5, ,学生公寓
309,37号楼,2000,0,733.40863,6,剪力墙,3.5, ,学生公寓
310,23号楼,1988,0,1082.54367,5,剪力墙,3.5, ,学生公寓
311,24号楼,1988,0,641.37542,5,剪力墙,3.5, ,学生公寓
312,25号楼,1988,0,619.77753,5,剪力墙,3.5, ,学生公寓
313,26号楼,1989,0,1107.3026,6,剪力墙,3.5, ,学生公寓
314,27号楼,1991,0,758.49953,6,剪力墙,3.5, ,学生公寓
315,28号楼,1990,0,1866.18274,5,剪力墙,3.5, ,学生公寓
316,饮食中心加工厂,1992,0,2007.8841,1,框架结构,4, ,饮食加工
317,丁香园,1988,0,2092.48203,1,框架结构,4, ,食堂
318,节水科研教学基地,2003,0,395.02472,2,框架结构,3.5, ,办公楼
319,学生服务中心,2003,0,1793.84583,4,框架剪力墙,3.5, ,购物
320,信息科技大楼（北侧）,2004,0,3153.84466,6,框架剪力墙,3.5,估计年份,办公楼
321,信息科技大楼（南侧）,2004,0,2802.84557,5,框架剪力墙,3.5,估计年份,办公楼
322,紫光大厦,2000,0,1878.01803,5,框架剪力墙,3,估计年份,办公楼
323,紫光国际交流中心（西侧）,2000,0,881.44116,7,框架剪力墙,3,估计年份,办公楼
324,紫光国际交流中心（东侧）,2000,0,1856.57898,9,框架剪力墙,3,估计年份,住宿
325,创业大厦（北侧）,2002,0,1253.03246,13,框架剪力墙,2.799999,估计年份,办公楼
326,创业大厦（南侧）,2002,0,294.93577,3,框架剪力墙,2.799999,估计年份,办公楼
327,立业大厦（北侧）,2002,0,1253.03246,13,框架剪力墙,2.799999,估计年份,办公楼
328,立业大厦（南侧）,2002,0,294.93577,3,框架剪力墙,2.799999,估计年份,办公楼
329,科建大厦（北侧）,2002,0,1253.03246,10,框架剪力墙,3,估计年份,办公楼
