ID,名称,建造时间,建筑面积,占地面积,层数,结构类型,层高,特殊情况,结构功能
416,蓝旗营5号楼,1999,0,708.03321,19,框架剪力墙,3.599999, ,住宅
417,蓝旗营4号楼,1999,0,708.03321,19,框架剪力墙,3.599999, ,住宅
418,蓝旗营3号楼,1999,0,708.03321,19,框架剪力墙,3.599999, ,住宅
419,蓝旗营2号楼,1999,0,708.03321,19,框架剪力墙,3.599999, ,住宅
420,蓝旗营7号楼,1999,0,708.03321,19,框架剪力墙,3.599999, ,住宅
421,蓝旗营6号楼,1999,0,708.03321,20,框架剪力墙,3.599999, ,住宅
422,蓝旗营1号楼,1999,0,708.03321,19,框架剪力墙,3.599999, ,住宅
423,蓝旗营9号楼,1999,0,708.03321,18,框架剪力墙,3.599999, ,住宅
424,蓝旗营8号楼,1999,0,708.03321,20,框架剪力墙,3.599999, ,住宅
425,蓝旗营12号楼,1998,0,1308.97669,9,框架剪力墙,3.599999, ,住宅
426,蓝旗营10号楼,1998,0,1517.08721,6,框架剪力墙,3.599999, ,住宅
427,清华印刷厂,1995,0,1646.77926,1,砖混结构,4,估计年份,公共设施
428,东11楼,1990,0,990.09648,6,砖混结构,3.5,估计年份,教工宿舍
429,东13楼,1990,0,1081.952,5,砖混结构,3.5,估计年份,教工宿舍
430,东15楼,1990,0,1258.5872,6,砖混结构,3.5,估计年份,教工宿舍
431,东16楼,1990,0,1281.98413,5,砖混结构,3.5,估计年份,教工宿舍
432,东9楼,1990,0,790.77051,6,砖混结构,3.5,估计年份,教工宿舍
433,东5楼,1990,0,364.7775,4,砖混结构,3.5,估计年份,教工宿舍
434,东4楼,1990,0,358.72059,5,砖混结构,3.5,估计年份,教工宿舍
435,东3楼,1990,0,347.80129,5,砖混结构,3.5,估计年份,教工宿舍
436,东2楼,1990,0,313.48703,5,砖混结构,3.5,估计年份,教工宿舍
437,东1楼,1990,0,309.78342,5,砖混结构,3.5,估计年份,教工宿舍
438,东6楼,1990,0,998.07195,6,砖混结构,3.5,估计年份,教工宿舍
439,东7楼,1990,0,922.27192,6,砖混结构,3.5,估计年份,教工宿舍
440,东8楼,1990,0,1024.4901,6,砖混结构,3.5,估计年份,教工宿舍
441,南10楼,1990,0,554.03121,6,砖混结构,3.5,估计年份,教工宿舍
442,南9楼,1990,0,656.43287,5,砖混结构,3.5,估计年份,教工宿舍
443,南8楼,1990,0,688.88516,5,砖混结构,3.5,估计年份,教工宿舍
444,南7楼,1990,0,926.00583,5,砖混结构,3.5,估计年份,教工宿舍
445,南6楼,1990,0,1018.64377,5,砖混结构,3.5,估计年份,教工宿舍
446,南5楼,1990,0,976.74975,5,砖混结构,3.5,估计年份,教工宿舍
447,高1楼,2000,0,595.45653,17,框架剪力墙,3.5,估计年份,教工宿舍
448,高2楼,2000,0,610.89821,17,框架剪力墙,3.5,估计年份,教工宿舍
449,中6楼,1995,0,509.89816,5,砖混结构,3.5,估计年份,教工宿舍
450,中4楼,1995,0,513.44517,5,砖混结构,3.5,估计年份,教工宿舍
451,中2楼,1995,0,603.24773,5,砖混结构,3.5,估计年份,教工宿舍
452,中1楼,1995,0,612.73625,5,砖混结构,3.5,估计年份,教工宿舍
453,中3楼,1995,0,501.34631,5,砖混结构,3.5,估计年份,教工宿舍
454,中5楼,1995,0,485.83308,5,砖混结构,3.5,估计年份,教工宿舍
455,中7楼,1995,0,427.93743,5,砖混结构,3.5,估计年份,教工宿舍
456,中8楼,1995,0,369.33849,5,砖混结构,3.5,估计年份,教工宿舍
457,西11楼,1995,0,632.72894,5,砖混结构,3.5,估计年份,教工宿舍
458,西10楼,1995,0,588.75648,5,砖混结构,3.5,估计年份,教工宿舍
459,西9楼,1995,0,489.17586,5,砖混结构,3.5,估计年份,教工宿舍
460,西12楼,1995,0,466.95796,5,砖混结构,3.5,估计年份,教工宿舍
461,西13楼,1995,0,551.86695,5,砖混结构,3.5,估计年份,教工宿舍
462,西14楼,1995,0,632.7289,5,砖混结构,3.5,估计年份,教工宿舍
463,西2楼,1995,0,633.22306,5,砖混结构,3.5,估计年份,教工宿舍
464,15公寓,1995,0,557.93963,5,砖混结构,3.5,估计年份,教工宿舍
465,16公寓,1995,0,610.97102,5,砖混结构,3.5,估计年份,教工宿舍
466,西1楼,1995,0,615.5903,5,砖混结构,3.5,估计年份,教工宿舍
467,17公寓,1995,0,627.84861,5,砖混结构,3.5,估计年份,教工宿舍
468,18公寓,1995,0,524.09555,5,砖混结构,3.5,估计年份,教工宿舍
469,19公寓,1995,0,524.20105,5,砖混结构,3.5,估计年份,教工宿舍
470,西8楼,1995,0,473.60982,5,砖混结构,3.5,估计年份,教工宿舍
471,西44楼,1995,0,495.84489,5,砖混结构,3.5,估计年份,教工宿舍
472,西43楼,1995,0,467.98847,5,砖混结构,3.5,估计年份,教工宿舍
473,西42楼,1995,0,675.75022,5,砖混结构,3.5,估计年份,教工宿舍
474,西41楼,1995,0,631.3482,5,砖混结构,3.5,估计年份,教工宿舍
475,西45楼,1995,0,175.64679,5,砖混结构,3.5,估计年份,教工宿舍
476,西46楼,1995,0,199.61439,5,砖混结构,3.5,估计年份,教工宿舍
477,西47楼,1995,0,187.69378,5,砖混结构,3.5,估计年份,教工宿舍
478,7公寓,1995,0,865.48995,5,砖混结构,3.5,估计年份,教工宿舍
479,5公寓,1995,0,915.03266,5,砖混结构,3.5,估计年份,教工宿舍
480,3公寓,1995,0,913.31229,5,砖混结构,3.5,估计年份,教工宿舍
481,1公寓,1995,0,528.58454,5,砖混结构,3.5,估计年份,教工宿舍
482,2公寓,1995,0,581.6342,5,砖混结构,3.5,估计年份,教工宿舍
483,4公寓,1995,0,951.90728,5,砖混结构,3.5,估计年份,教工宿舍
484,6公寓,1995,0,853.81286,5,砖混结构,3.5,估计年份,教工宿舍
485,8公寓,1995,0,889.22669,5,砖混结构,3.5,估计年份,教工宿舍
486,北京银行,2005,0,714.82412,1,框架剪力墙,4.5,估计年份,服务类建筑
487,建设银行,2005,0,482.47888,1,框架结构,4.5,估计年份,服务类建筑
488,邮政 工商银行,2000,0,810.53407,2,框架结构,4,估计年份,服务类建筑
489,服务楼,1995,0,563.30073,5,框架剪力墙,3.5,估计年份,公共设施
490,29号楼,1994,500.65004,500.65004,6,剪力墙,3.5, ,学生公寓
491,22号楼,1986,395.2772,395.2772,6,剪力墙,3.5, ,学生公寓
492,21号楼,1986,395.15126,395.15126,6,剪力墙,3.5, ,学生公寓
493,20号楼,1987,395.32899,395.32899,6,剪力墙,3.5, ,学生公寓
494,19号楼,1987,397.8507,397.8507,6,剪力墙,3.5, ,学生公寓
495,实验楼,2002,2470.97975,2470.97975,4,框架剪力墙,3.5, ,教学楼
496,图书教学楼,2002,1235.65116,1235.65116,4,框架剪力墙,3.5, ,教学楼
497,旧学生宿舍,1958,957.78867,957.78867,4,剪力墙,3, ,学生公寓
498,音乐楼,1995,319.25439,319.25439,2,剪力墙,3, ,教学楼
499,外国留学生楼,1995,388.58883,388.58883,2,剪力墙,3, ,教学楼
500,教学楼,1995,995.40367,995.40367,3,剪力墙,3, ,教学楼
501,20号宿舍楼,1997,861.86098,861.86098,6,剪力墙,3, ,家属区
502,19号宿舍楼,1997,769.67181,769.67181,6,剪力墙,3, ,家属区
503,21号宿舍楼,1997,864.82692,864.82692,6,剪力墙,3, ,家属区
504,22号宿舍楼,1997,866.43714,866.43714,6,剪力墙,3, ,家属区
505,23号宿舍楼,1997,810.42045,810.42045,6,剪力墙,3, ,家属区
506,锅炉房,1958,461.65164,461.65164,6,砖混结构,3.5, ,实验室
507,汽轮机房,1958,892.94328,892.94328,1,砖混结构,3.5, ,实验室
508,实验电厂2,1958,78.47751,78.47751,1,砖混结构,3, ,实验室
509,实验电场1,1958,83.27678,83.27678,1,砖混结构,3, ,实验室
510,实验电厂3,1958,239.8619,239.8619,1,砖混结构,3.5, ,实验室
511,西北16楼,1993,903.1006,903.1006,6,砖混结构,3, ,职工家属住宅
512,西北15楼,1993,903.41108,903.41108,6,砖混结构,3, ,职工家属住宅
513,西北14楼,1993,354.62412,354.62412,6,砖混结构,3, ,职工家属住宅
514,西北13楼,1993,598.53188,598.53188,6,砖混结构,3, ,职工家属住宅
515,西北12楼,1993,554.505,554.505,6,砖混结构,3, ,职工家属住宅
516,西北11楼,1993,260.13594,260.13594,6,砖混结构,3, ,职工家属住宅
517,西北10楼,1993,1081.91449,1081.91449,6,砖混结构,3, ,职工家属住宅
518,西北 9楼,1993,669.36317,669.36317,6,砖混结构,3, ,职工家属住宅
519,西北 8楼,1993,260.60867,260.60867,6,砖混结构,3, ,职工家属住宅
520,西北 7楼,1993,1092.84396,1092.84396,6,砖混结构,3, ,职工家属住宅
521,西北 6楼,1993,726.95967,726.95967,6,砖混结构,3, ,职工家属住宅
522,西北 5楼,1993,261.23134,261.23134,6,砖混结构,3, ,职工家属住宅
523,西北 4楼,1993,542.15917,542.15917,6,砖混结构,3, ,职工家属住宅
524,西北 3楼,1993,745.13566,745.13566,6,砖混结构,3, ,职工家属住宅
525,西北 2楼,1993,685.18915,685.18915,6,砖混结构,3, ,职工家属住宅
526,西北 1楼,1993,721.34362,721.34362,6,砖混结构,3, ,职工家属住宅
527,北园餐厅,1994,537.43833,537.43833,1,框架结构,4, ,餐厅
528,西北商城,1994,1704.74781,1704.74781,6,框架剪力墙,3.5, ,超市
529,荷清苑1号楼,2002,1637.75375,1637.75375,7,剪力墙,3.5, ,职工家属住宅
530,荷清苑2号楼,2002,1748.11476,1748.11476,7,剪力墙,3.5, ,职工家属住宅
531,荷清苑5号楼,2002,1262.84152,1262.84152,7,剪力墙,3.5, ,职工家属住宅
532,荷清苑6号楼,2002,1008.86773,1008.86773,7,剪力墙,3.5, ,职工家属住宅
533,荷清苑10号楼,2002,1253.96718,1253.96718,7,剪力墙,3.5, ,职工家属住宅
534,荷清苑14号楼,2002,1539.85101,1539.85101,7,剪力墙,3.5, ,职工家属住宅
535,荷清苑13号楼,2002,1232.63342,1232.63342,7,剪力墙,3.5, ,职工家属住宅
536,荷清苑9号楼,2002,1055.01244,1055.01244,7,剪力墙,3.5, ,职工家属住宅
537,荷清苑12号楼,2002,1549.09313,1549.09313,9,剪力墙,3.5, ,职工家属住宅
538,荷清苑11号楼,2002,1356.18276,1356.18276,9,剪力墙,3.299999, ,职工家属住宅
539,荷清苑7号楼,2002,1199.47486,1199.47486,7,剪力墙,3.5, ,职工家属住宅
540,荷清苑3号楼,2002,727.38768,727.38768,7,剪力墙,3.5, ,职工家属住宅
541,荷清苑4号楼,2002,991.55567,991.55567,7,剪力墙,3.5, ,职工家属住宅
542,荷清苑超市,2002,724.94252,724.94252,2,框架剪力墙,3.5, ,超市
543,荷清苑8号楼,2002,1045.87443,1045.87443,7,剪力墙,3.5, ,职工家属住宅
544,教学楼C区1,2002,366.6073,366.6073,4,框架剪力墙,3.5, ,教学楼
545,教学楼C区2,2002,1121.7113,1121.7113,5,框架剪力墙,3.5, ,教学楼
546,教学楼C区3,2002,536.04945,536.04945,4,框架剪力墙,3.5, ,教学楼
547,教学楼B区1,2002,1161.9043,1161.9043,4,框架剪力墙,3.5, ,教学楼
548,教学楼B区2,2002,349.79273,349.79273,3,框架剪力墙,3.5, ,教学楼
549,教学楼A区,2002,2010.98822,2010.98822,5,框架剪力墙,3.5, ,教学楼
550,附中初中楼,2002,3195.19554,3195.19554,4,框架剪力墙,3.299999, ,教学楼
551,软件学院,1995,1527.56015,1527.56015,2,框架剪力墙,3.5, ,实验室
552,新学生宿舍,2002,1209.69371,1209.69371,5,剪力墙,3, ,学生公寓
553,食堂,2002,1798.62358,1798.62358,4,框架剪力墙,3.5, ,学生食堂
554,北区浴室1,1986,993.9607,993.9607,3,砖混结构,3.5, ,浴室
555,北区浴室2,1986,126.89858,126.89858,2,砖混结构,3.5, ,浴室
556,超市,1958,663.42541,663.42541,1,砖混结构,3.5, ,超市
557,超市1,1958,229.4373,229.4373,1,砖混结构,3, ,废弃
558,实验电厂,1958,529.61226,529.61226,3,砖混结构,3.5, ,实验室
559,六教（B区）,2006,0,1386.91666,9,框架剪力墙,4, ,教学楼
560,六教（A区）,2006,0,3521.77235,6,框架剪力墙,4, ,教学楼
561,六教(C区),2006,0,694.85409,4,框架结构,7, ,教学楼
562,中央主楼,2000,1191500544,4582.95901,10,框架剪力墙,4.199999, ,办公楼
563,蒙民伟音乐厅,2011,0,2074.72979,3,框架剪力墙,6, ,演出
564,校史馆,2010,0,3674.16306,3,框架剪力墙,6, ,展览馆
565,新清华学堂,2011,0,1556.07835,4,框架剪力墙,6, ,演出
566,清华-富士康纳米科技楼,2003,0,2524.01851,5,框架剪力墙,3.5, ,科技楼
567,法学院（明理楼）,1999,0,2748.00263,5,框架剪力墙,3.5, ,教学楼
568,精仪系,1965,0,5728.96598,4,框架结构,4, ,教学楼
